trade_date,f1_disp,f2_breadth,f3_vol_z,score,market_state
2007-01-31,2.4467665738003426,0.0,0.5010881947856456,3,NEUTRAL
2007-02-01,3.292196176819763,0.52,-1.4021083218784849,1,RANGE
2007-02-02,2.1688685222176716,0.04,-1.4376584365438154,2,NEUTRAL
2007-02-05,8.9702520774688,0.28,-0.9131169224387684,2,NEUTRAL
2007-02-06,3.257341530474483,0.6923076923076923,0.9109319982532361,2,NEUTRAL
2007-02-07,2.647256945091151,0.84,0.8333742238425272,3,NEUTRAL
2007-02-08,3.0886841609581652,0.4230769230769231,-1.7679402985617014,1,RANGE
2007-02-09,2.711962672763314,0.15384615384615385,-1.9294455901234497,2,NEUTRAL
2007-02-12,2.7004572832136295,0.9230769230769231,-1.2823855065242034,2,NEUTRAL
2007-02-13,1.5402363954426455,0.6923076923076923,-1.905029210771347,0,RANGE
2007-02-14,2.3106400378716248,0.8076923076923077,-0.990525399973785,2,NEUTRAL
2007-02-15,3.019304249963252,0.9230769230769231,-0.45359652935366784,2,NEUTRAL
2007-02-16,3.6254301177186607,0.5,-0.5198249094142267,1,RANGE
2007-02-26,4.56576169397329,0.38461538461538464,-0.23236027327372777,1,RANGE
2007-02-27,1.5147996567203201,0.0,0.8224922935746447,2,NEUTRAL
2007-02-28,3.4156031572090213,0.8333333333333334,-0.7495943214602656,2,NEUTRAL
2007-03-01,8.89349629523037,0.18518518518518517,1.5531510596961757,3,NEUTRAL
2007-03-02,2.5958191785980027,0.7037037037037037,-1.2824592399020596,2,NEUTRAL
2007-03-05,2.775268986732268,0.18518518518518517,-0.8361663584795644,2,NEUTRAL
2007-03-06,2.6782674365228094,0.8846153846153846,-0.6141539350931849,2,NEUTRAL
2007-03-07,2.0851292771826166,0.9629629629629629,-0.9091476075720086,2,NEUTRAL
2007-03-08,2.2780675446289425,0.6666666666666666,-1.7740758222809117,1,RANGE
2007-03-09,2.870715983236631,0.48148148148148145,0.026078834193844973,1,RANGE
2007-03-12,1.627147622256624,0.2692307692307692,-0.930634380771128,1,RANGE
2007-03-13,2.9563169393950046,0.5384615384615384,-1.1960861065742614,1,RANGE
2007-03-14,1.82649980521804,0.19230769230769232,-0.900778804106114,1,RANGE
2007-03-15,2.4036359637336613,0.8461538461538461,-1.1480883496767706,2,NEUTRAL
2007-03-16,2.5834907809753482,0.2692307692307692,-0.24285350640398135,2,NEUTRAL
2007-03-19,3.087927286633581,0.8333333333333334,0.8035213788396187,3,NEUTRAL
2007-03-20,1.8978832125306861,0.375,-0.9204528494838404,0,RANGE
2007-03-21,1.8935810870763714,0.72,-0.4020072678366416,1,RANGE
2007-03-22,1.7742540360995054,0.6538461538461539,0.8178720871073736,1,RANGE
2007-03-23,2.0621192981978513,0.34615384615384615,-0.0854001151131302,1,RANGE
2007-03-26,2.702971636304507,0.92,-0.18235284989851494,2,NEUTRAL
2007-03-27,1.8626718609402093,0.46153846153846156,-0.18567493058728554,0,RANGE
2007-03-28,3.2731781431347664,0.6666666666666666,2.8084590301683177,2,NEUTRAL
2007-03-29,3.5437973765656867,0.6923076923076923,4.496585891070067,2,NEUTRAL
2007-03-30,1.8822822874602552,0.14814814814814814,0.33645379952888654,2,NEUTRAL
2007-04-02,1.9138050730285616,0.9259259259259259,0.4437634130252237,2,NEUTRAL
2007-04-03,1.2864032545564137,0.7407407407407407,0.26177998927382296,1,RANGE
2007-04-04,2.7691033960893585,0.5925925925925926,0.6044446669811936,2,NEUTRAL
2007-04-05,3.183682533314915,0.6296296296296297,0.5468897215153634,2,NEUTRAL
2007-04-06,1.9531791602177289,0.2962962962962963,0.32261736321962037,3,NEUTRAL
2007-04-09,2.814886794644976,0.84,0.601144144875545,3,NEUTRAL
2007-04-10,2.9231765202705375,0.7777777777777778,2.518750359333406,3,NEUTRAL
2007-04-11,2.9329782710517205,0.6296296296296297,2.4971872296311726,2,NEUTRAL
2007-04-12,2.8329487421234036,0.7777777777777778,1.4888586361488858,3,NEUTRAL
2007-04-13,3.2289506035243085,0.4230769230769231,1.4715559119823076,2,NEUTRAL
2007-04-16,1.9981053525777865,0.96,0.7436379846208138,3,NEUTRAL
2007-04-17,4.166424027123161,0.2962962962962963,1.512814867635855,3,NEUTRAL
2007-04-18,2.012245206039952,0.2222222222222222,0.9981693709882702,3,NEUTRAL
2007-04-19,1.9783850834611394,0.0,1.7460018765871266,3,TREND
2007-04-20,37.628814862777816,1.0,0.6956738503397544,3,NEUTRAL
2007-04-23,2.2695183683633458,0.9285714285714286,1.767328005099023,3,NEUTRAL
2007-04-24,3.681696236721218,0.37037037037037035,1.2554565691018338,2,NEUTRAL
2007-04-25,2.943480196411497,0.6,1.892874204993404,2,NEUTRAL
2007-04-26,2.2123435537908662,0.6,0.869102639266154,2,NEUTRAL
2007-04-27,2.9110716823741987,0.17391304347826086,0.5967173248893738,3,NEUTRAL
2007-04-30,3.9489761790011904,0.5833333333333334,0.722889478420301,2,NEUTRAL
2007-05-08,3.9933252001115753,0.8461538461538461,2.062418309282586,3,NEUTRAL
2007-05-09,4.370134070583166,0.6666666666666666,3.7780548702079613,2,NEUTRAL
2007-05-10,2.372865496960725,0.44,1.7609466840866146,2,NEUTRAL
2007-05-11,2.7655498549113156,0.36,1.3573069002885525,2,NEUTRAL
2007-05-14,2.847136456160821,0.68,1.7738847097198835,2,NEUTRAL
2007-05-15,15.16351231300541,0.32,2.6204594624692406,2,NEUTRAL
2007-05-16,2.548990974043452,0.8518518518518519,0.858954105696581,3,NEUTRAL
2007-05-17,1.6230061622954495,0.8888888888888888,0.7084207945479114,2,NEUTRAL
2007-05-18,2.4584622147876227,0.38461538461538464,0.2618239280723408,1,RANGE
2007-05-21,3.105735562570546,0.5,0.8505991902390813,2,NEUTRAL
2007-05-22,2.119138976093829,0.68,0.48702519057518573,2,NEUTRAL
2007-05-23,2.920978985480422,0.9259259259259259,0.45952352869713536,3,NEUTRAL
2007-05-24,3.282351799142397,0.48148148148148145,1.5530274642552042,2,NEUTRAL
2007-05-25,2.822676416780031,0.5769230769230769,0.8688861971536034,2,NEUTRAL
2007-05-28,2.129405103982353,0.7407407407407407,1.092911863334521,3,NEUTRAL
2007-05-29,2.555719467058541,0.8148148148148148,0.9243343037555193,3,NEUTRAL
2007-05-30,3.5206362332935623,0.07407407407407407,2.876221867047234,3,NEUTRAL
2007-05-31,5.2769510573377945,0.8076923076923077,2.5346566180650747,3,NEUTRAL
2007-06-01,3.9573187633638756,0.3333333333333333,2.1186120339914547,2,NEUTRAL
2007-06-04,2.919015074104449,0.0,0.5098537773810027,3,NEUTRAL
2007-06-05,3.6541849715453383,0.6296296296296297,0.5529094296351713,2,NEUTRAL
2007-06-06,2.4584522497676184,0.3333333333333333,-0.06023590390109752,1,RANGE
2007-06-07,2.194041897082607,0.9615384615384616,0.043257853855190785,2,NEUTRAL
2007-06-08,2.157937761988372,0.46153846153846156,-0.2028004155086439,1,RANGE
2007-06-11,2.9864930982074984,0.8518518518518519,-0.008628755184581668,2,NEUTRAL
2007-06-12,3.5320972523417304,0.6,0.07072955256250803,1,RANGE
2007-06-13,2.562148426302535,0.8148148148148148,0.7368012897545847,3,NEUTRAL
2007-06-14,2.1923515715106947,0.25925925925925924,-0.5196185968762004,2,NEUTRAL
2007-06-15,2.636731436204049,0.64,-1.0642863715402184,1,RANGE
2007-06-18,2.638109484540331,1.0,0.37182948498556495,3,NEUTRAL
2007-06-19,2.7598704775605056,0.39285714285714285,-0.5051021151129965,1,RANGE
2007-06-20,3.6421042100581187,0.14814814814814814,-0.43104170791977836,2,NEUTRAL
2007-06-21,3.6339873264623384,0.75,-0.44492296717157426,2,NEUTRAL
2007-06-22,3.3824918806630304,0.35714285714285715,-0.3302374263726154,1,RANGE
2007-06-25,3.035970843983394,0.20689655172413793,-0.17087053636702842,2,NEUTRAL
2007-06-26,2.939328739551505,0.6071428571428571,-1.5644271660157651,1,RANGE
2007-06-27,2.987353434374969,0.9310344827586207,-0.47835961919609615,2,NEUTRAL
2007-06-28,2.9419716555776367,0.07142857142857142,-0.4992655243316757,2,NEUTRAL
2007-06-29,3.51994197883879,0.17857142857142858,-1.1930449285586726,2,NEUTRAL
2007-07-02,3.2979217967289496,0.5172413793103449,-1.4347435224723248,1,RANGE
2007-07-03,1.974672261888519,0.7586206896551724,-1.850987280787133,2,NEUTRAL
2007-07-04,1.9141388437695717,0.03571428571428571,-2.08895768845948,1,RANGE
2007-07-05,3.3684490077703,0.037037037037037035,-1.9829856281178566,2,NEUTRAL
2007-07-06,2.34982448773365,1.0,-1.674152346621351,2,NEUTRAL
2007-07-09,1.9995708899267273,0.9655172413793104,-1.1962218088050982,2,NEUTRAL
2007-07-10,3.3633717395090423,0.41379310344827586,-0.44673433202343316,1,RANGE
2007-07-11,1.707350957079532,0.5172413793103449,-1.775313988463601,0,RANGE
2007-07-12,1.7852132794716633,0.5862068965517241,-1.779212326751357,0,RANGE
2007-07-13,1.79010315685139,0.2857142857142857,-2.1572605854682654,1,RANGE
2007-07-16,1.871846642280491,0.034482758620689655,-1.894023321824761,1,RANGE
2007-07-17,3.037462846171443,0.8620689655172413,-1.21994507611605,2,NEUTRAL
2007-07-18,1.6539311283544735,0.6206896551724138,-0.43682749196481535,0,RANGE
2007-07-19,25.708682832624966,0.5333333333333333,-1.02344781401884,1,RANGE
2007-07-20,2.5522537611067873,1.0,0.03628941541052457,2,NEUTRAL
2007-07-23,2.57810239401444,0.9666666666666667,1.3934580723721057,3,NEUTRAL
2007-07-24,1.638288861614053,0.3448275862068966,0.015077489956167653,0,RANGE
2007-07-25,2.3074438511991535,0.9,-0.05529175567624015,2,NEUTRAL
2007-07-26,1.9060270106998067,0.5333333333333333,-0.23757467885587916,0,RANGE
2007-07-27,1.6919369638539057,0.3333333333333333,-0.29261111856824135,0,RANGE
2007-07-30,1.8167764274399831,0.9642857142857143,-0.0976718907123771,1,RANGE
2007-07-31,2.532920013167302,0.6,-0.10431328192162806,1,RANGE
2007-08-01,2.4008965997640592,0.13333333333333333,0.23984725655950848,2,NEUTRAL
2007-08-02,2.545119377097696,1.0,-0.12139961735182599,2,NEUTRAL
2007-08-03,3.3446296119868504,0.8333333333333334,1.66000063990068,3,NEUTRAL
2007-08-06,2.450154111972101,0.7333333333333333,0.7087077273304523,3,TREND
2007-08-07,2.6644630478453504,0.4,0.6474270569925982,2,NEUTRAL
2007-08-08,3.2762152259728836,0.36666666666666664,1.6492332333939903,2,NEUTRAL
2007-08-09,3.2598445947022077,0.6333333333333333,1.0019914592651777,2,NEUTRAL
2007-08-10,2.750731384222776,0.25,0.40319519266690534,3,NEUTRAL
2007-08-13,3.2944427083530665,0.43333333333333335,1.5137751131761628,2,NEUTRAL
2007-08-14,2.7041859997386024,0.6551724137931034,0.24890398246769888,1,RANGE
2007-08-15,2.0550929123294837,0.5,0.30029189066407014,2,NEUTRAL
2007-08-16,2.8245080656298156,0.20689655172413793,0.5744189200577358,3,NEUTRAL
2007-08-17,2.0446227083998734,0.2413793103448276,0.7157703576134921,3,NEUTRAL
2007-08-20,2.5842725820480164,1.0,0.510297264470329,3,NEUTRAL
2007-08-21,2.218462666123823,0.7586206896551724,0.7003941704644439,3,NEUTRAL
2007-08-22,2.653810393737904,0.6896551724137931,0.762876031202144,2,NEUTRAL
2007-08-23,2.782103874847837,0.7931034482758621,0.6797737600523762,3,NEUTRAL
2007-08-24,2.854645786100714,0.7037037037037037,0.6272763555374196,3,NEUTRAL
2007-08-27,2.611979797306722,0.4444444444444444,0.6253468634579394,2,NEUTRAL
2007-08-28,2.3575764391990917,0.24,-0.18441171175314688,2,NEUTRAL
2007-08-29,2.2944828007094156,0.10714285714285714,0.0018196455445519018,2,NEUTRAL
2007-08-30,1.4655942598111982,0.9285714285714286,-0.725300625840983,1,RANGE
2007-08-31,2.2803654929877353,0.7333333333333333,0.14484599676345455,2,NEUTRAL
2007-09-03,2.0237887577414275,0.8275862068965517,0.6479945732703989,3,TREND
2007-09-04,2.7292863788783754,0.3,1.107859697869315,2,NEUTRAL
2007-09-05,2.0535727487680484,0.43333333333333335,0.4634254377594372,2,NEUTRAL
2007-09-06,1.7511074984889898,0.8,0.9511937901083853,2,NEUTRAL
2007-09-07,2.656596735850441,0.14285714285714285,0.9997832495887866,3,NEUTRAL
2007-09-10,2.723063289415235,0.7666666666666667,0.22442576709034057,2,NEUTRAL
2007-09-11,2.484418315786633,0.1,0.5034644985164312,3,NEUTRAL
2007-09-12,2.392797141614713,0.5,-0.08481964800881167,1,RANGE
2007-09-13,2.540718990464264,0.9666666666666667,0.0113442491633814,2,NEUTRAL
2007-09-14,3.1993917691192015,0.5555555555555556,-0.1246943827576032,1,RANGE
2007-09-17,1.5735432703441365,0.896551724137931,0.414429734444996,2,NEUTRAL
2007-09-18,2.188185097972405,0.26666666666666666,0.46660696812032165,3,NEUTRAL
2007-09-19,3.0456976250094994,0.3333333333333333,-0.051021095479281645,1,RANGE
2007-09-20,2.268041461033179,0.5333333333333333,-0.2941986227131233,1,RANGE
2007-09-21,2.5478248780470376,0.3333333333333333,0.044445089638612496,1,RANGE
2007-09-24,2.61986785663073,0.4666666666666667,-0.16167697450045965,1,RANGE
2007-09-25,6.479717934920395,0.3870967741935484,2.3453216358957043,2,NEUTRAL
2007-09-26,2.5641934045800743,0.3333333333333333,-0.35775632675531577,1,RANGE
2007-09-27,2.4964194128906847,0.8666666666666667,-0.594787150065178,2,NEUTRAL
2007-09-28,1.8142720925501918,0.967741935483871,0.3964098009732037,2,NEUTRAL
2007-10-08,3.6126752961896433,0.5806451612903226,2.7083721138208112,2,NEUTRAL
