date,ic_value,rank_ic,p_value,t_stat,n_obs,seed,n_stocks,distribution
20260312,-0.034683309591025446,-0.07006170618360817,0.6287581126537247,-0.4865974748297133,50,42,50,normal
20260312,0.050552484093671836,-0.09973828906329965,0.4907354145441598,-0.6944699684072807,50,123,50,normal
20260312,-0.11802205666571795,-0.1287425868939366,0.37290862664569246,-0.899439904172309,50,456,50,normal
20260312,-0.013072015328047876,-0.05359072248177295,0.711662017763923,-0.37182173011658953,50,789,50,normal
20260312,-0.05756535757958829,-0.03841628851739997,0.7911086330192754,-0.2663524697522171,50,1024,50,normal
20260313,-0.23963428619635063,-0.31873409357987115,0.024071818828458984,-2.329765417191222,50,42,50,normal
20260313,-0.22415838345301267,-0.2793545611502351,0.0494510903868173,-2.0156731155298533,50,123,50,normal
20260313,-0.2710638529485011,-0.288479086957102,0.04218613725809386,-2.0873843921067268,50,456,50,normal
20260313,0.07583615563894518,0.15084281873352046,0.29572744344208673,1.0571660521401698,50,789,50,normal
20260313,0.21862730265475533,0.2563031275328872,0.07239263238200934,1.8370853182000202,50,1024,50,normal
20260316,0.053415033495729736,0.07793517406962785,0.5906006820717691,0.5415980337533132,50,42,50,normal
20260316,-0.06127925987482494,-0.09253301320528211,0.5227374550597652,-0.6438498835648159,50,123,50,normal
20260316,-0.09778229108909048,-0.05056422569027611,0.7272972880782104,-0.35076793010876584,50,456,50,normal
20260316,-0.2698375881159166,-0.14650660264105642,0.30998809581374837,-1.0260994464100754,50,789,50,normal
20260316,-0.14823314185101777,-0.11078031212484994,0.4437452424938914,-0.7722618507831148,50,1024,50,normal
20260317,-0.17648766474988922,-0.11732219234829369,0.41712555072088375,-0.8184845242891189,50,42,50,normal
20260317,0.05555170303757272,0.09734428321325883,0.5012538834875521,0.6776392436183216,50,123,50,normal
20260317,0.09312231455260159,0.02367574327781776,0.870359995626724,0.16407635324935607,50,456,50,normal
20260317,0.23895589922477534,0.2911684208791259,0.040220137941508645,2.108637439201138,50,789,50,normal
20260317,0.009978845034462894,0.05585170270203257,0.7000572464257081,0.3875568941627888,50,1024,50,normal
20260318,0.20840015269102752,0.16129651860744296,0.2631241136253759,1.132321692824664,50,42,50,normal
20260318,-0.12851338974514812,-0.23572629051620647,0.09935410477204759,-1.6805174918829784,50,123,50,normal
20260318,-0.1689305260314468,-0.15630252100840333,0.27838676526196915,-1.0963708738062148,50,456,50,normal
20260318,-0.08655301603046382,-0.039615846338535404,0.7847391830472044,-0.2746822644808421,50,789,50,normal
20260318,0.24462292598680632,0.20134453781512604,0.1608802604897885,1.4241211910863643,50,1024,50,normal
20260319,0.05724156952265477,0.08225690276110444,0.5701052525423823,0.5718303817493414,50,42,50,normal
20260319,0.26794761613750917,0.19222088835534215,0.18111209634198483,1.357052114639511,50,123,50,normal
20260319,0.011046287045442553,0.09176470588235294,0.5262100377727074,0.638458367484442,50,456,50,normal
20260319,0.1194082849415566,-0.17262905162064823,0.2305968842622797,-1.2142386283251985,50,789,50,normal
20260319,0.07604007924882919,-0.006578631452581032,0.9638348418776679,-0.0455790819859193,50,1024,50,normal
20260320,0.07390477263097604,0.22074429771908766,0.12344078378367737,1.5680422695243754,50,42,50,normal
20260320,-0.08409453967122389,-0.10415366146458584,0.47164123322070106,-0.7255438089763949,50,123,50,normal
20260320,-0.2200169215097849,-0.20489795918367346,0.15346556701536493,-1.4503462052638627,50,456,50,normal
20260320,0.06773418922357441,0.03241296518607443,0.8231806675615939,0.22468166643506712,50,789,50,normal
20260320,0.2209140541381275,0.11289315726290516,0.4350467722694515,0.7871790677936994,50,1024,50,normal
20260323,-0.13613989115466216,-0.020888355342136854,0.885514070388764,-0.1447503533843156,50,42,50,normal
20260323,-0.05652065892988163,-0.052292917166866744,0.7183527092577803,-0.36279233395039456,50,123,50,normal
